Date,Symbol,Series,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty,Day_Perc_Change,Trend,Rolling_14,Std_14,Upper_band,Lower_band
2017-12-27,AXISBANK,EQ,555.0,554.0,560.65,551.0,553.2,554.6,555.32,4163259,2311939238.65,55577,2290869,55.03,-0.07207207207207134,Slight or No change,546.7392857142858,7.294655012969263,561.3285957402243,532.1499756883472
2017-12-28,AXISBANK,EQ,554.6,546.15,554.2,544.0,548.35,546.85,548.61,8433564,4626716966.2,75449,4454410,52.82,-1.3974035340786115,Negative,547.6535714285715,6.318759137121973,560.2910897028154,535.0160531543276
2017-12-29,AXISBANK,EQ,546.85,548.2,567.85,547.0,562.7,563.95,557.68,8363189,4663989265.65,108278,4795894,57.35,3.127000091432764,Among top gainers,549.1857142857143,7.468895206413766,564.1235046985419,534.2479238728868
2018-01-01,AXISBANK,EQ,563.95,563.8,569.8,560.5,562.95,565.5,565.45,6943234,3926020653.9,60203,4295836,61.87,0.2748470609096554,Slight or No change,550.6428571428571,8.525681952034521,567.6942210469261,533.5914932387881
2018-01-02,AXISBANK,EQ,565.5,567.0,568.6,556.35,558.4,559.5,562.73,6292268,3540878729.7,75362,3796067,60.33,-1.0610079575596787,Negative,552.1357142857142,8.072518160434402,568.2807506065831,535.9906779648454
2018-01-03,AXISBANK,EQ,559.5,561.3,565.45,555.75,559.75,560.45,560.49,3990149,2236430578.25,80778,1847503,46.3,0.1697944593387124,Slight or No change,553.9,6.817454972912214,567.5349099458244,540.2650900541755
2018-01-04,AXISBANK,EQ,560.45,564.85,565.0,558.0,559.2,559.9,560.67,2766664,1551198403.7,52347,1529795,55.29,-0.09813542688912323,Slight or No change,555.2178571428572,5.954268253912742,567.1263936506826,543.3093206350317
2018-01-05,AXISBANK,EQ,559.9,561.05,566.0,556.7,564.3,563.25,560.87,3249056,1822289242.4,66423,1904898,58.63,0.598321128773005,Slight positive,556.3107142857142,5.921706438422063,568.1541271625583,544.4673014088701
2018-01-08,AXISBANK,EQ,563.25,565.8,568.0,562.45,563.45,565.45,564.97,3770339,2130123814.45,82634,2439703,64.71,0.39059032401242977,Slight or No change,557.5107142857142,5.952025465574605,569.4147652168634,545.6066633545651
2018-01-09,AXISBANK,EQ,565.45,564.0,573.0,563.0,564.1,565.3,567.76,4607504,2615956536.75,91955,2564442,55.66,-0.026527544433652128,Slight or No change,558.342857142857,6.1807348686442145,570.7043268801455,545.9813874055686
